3U8842,四川航空股份有限公司,2020/02/05 21:20:00,2020/02/05 21:19:00,乌鲁木齐地窝堡,2020/02/06 01:10:00,2020/02/06 00:38:00,成都双流,到达
3U8843,--,2020/02/05 14:40:00,--,成都双流,2020/02/05 17:15:00,--,济南遥墙,取消
3U8843,--,2020/02/05 14:40:00,--,成都双流,2020/02/05 20:30:00,--,哈尔滨太平,取消
3U8843,--,2020/02/05 18:05:00,--,济南遥墙,2020/02/05 20:30:00,--,哈尔滨太平,取消
3U8857,四川航空股份有限公司,2020/02/05 07:15:00,2020/02/05 07:21:00,成都双流,2020/02/05 09:10:00,2020/02/05 08:50:00,郑州新郑,到达
3U8857,四川航空股份有限公司,2020/02/05 07:15:00,2020/02/05 07:21:00,成都双流,2020/02/05 12:50:00,2020/02/05 12:20:00,长春龙嘉,到达
3U8857,四川航空股份有限公司,2020/02/05 10:10:00,2020/02/05 09:56:00,郑州新郑,2020/02/05 12:50:00,2020/02/05 12:20:00,长春龙嘉,到达
3U8869,四川航空股份有限公司,2020/02/05 08:40:00,2020/02/05 08:35:00,成都双流,2020/02/05 11:25:00,2020/02/05 10:41:00,厦门高崎,到达
3U8870,四川航空股份有限公司,2020/02/05 12:35:00,2020/02/05 12:42:00,厦门高崎,2020/02/05 15:55:00,2020/02/05 15:30:00,成都双流,到达
3U8873,--,2020/02/05 15:00:00,--,常州奔牛,2020/02/05 17:40:00,--,海口美兰,取消
3U8880,四川航空股份有限公司,2020/02/05 20:00:00,2020/02/05 20:04:00,海口美兰,2020/02/05 22:15:00,2020/02/05 21:50:00,重庆江北,到达
3U8880,四川航空股份有限公司,2020/02/05 20:00:00,2020/02/05 20:04:00,海口美兰,2020/02/06 00:50:00,2020/02/06 00:10:00,西安咸阳,到达
3U8880,四川航空股份有限公司,2020/02/05 23:20:00,2020/02/05 23:16:00,重庆江北,2020/02/06 00:50:00,2020/02/06 00:10:00,西安咸阳,到达
